"project_funding","appropriation_detail","grantee_name","project_name","project_type","app_commuting_zone","project_description","ktid","cities"
75000000,"CHIPS for America Manufacturing Incentives","Absolics","CHIPS for America - Absolics - Other","SUB","Atlanta, GA","The proposed CHIPS investment would support the construction of a 120,000 square-foot facility in Covington, Georgia and the development of substrates technology for use in semiconductor advanced packaging. Absolics glass substrates will be used as an important advanced packaging technology to increase the performance of leading-edge chips for AI, high-performance compute and data centers by reducing power consumption and system complexity. The glass substrates produced by Absolics enable smaller, more densely packed, and shorter length connections resulting in faster and more energy efficient computing. This proposed investment would support over an estimated 1,000 construction jobs and approximately 200 manufacturing and R&D jobs in Covington and enhance innovation capacity at Georgia Institute of Technology (Georgia Tech), supporting the local semiconductor talent pipeline.","Semiconductors & Microelectronics","Newton County, GA; Conyers, GA; Mansfield, GA; Porterdale, GA; Newborn, GA; Oxford, GA; Covington, GA; Social Circle, GA"
400000000,"CHIPS for America Manufacturing Incentives","Amkor","CHIPS for America - Amkor - Other","SUB","Phoenix, AZ","This proposed funding would support Amkor's investment of approximately $2 billion and 2,000 jobs in a greenfield project in Peoria, Arizona, which will provide full end-to-end advanced packaging for the world's most advanced semiconductors for applications in high-performance computing, artificial intelligence, communications, and automotive, end markets. Amkor's use of 2.5D technology is foundational for meeting the rapidly increasing demand for generative AI products and services as it is the final step in the manufacturing of graphic processing units (â€œGPUsâ€) for high-performance computing applications and other AI chips. When fully operational, Amkor will package and test millions of leading-edge chips serving autonomous vehicles, 5G/6G smartphones, and large-scale datacenters across a range of customers.","Semiconductors & Microelectronics","Maricopa County, AZ; Goodyear, AZ; Surprise, AZ; Phoenix, AZ; Youngtown, AZ; Tolleson, AZ; Scottsdale, AZ; Morristown, AZ; Peoria, AZ; Aguila, AZ; Glendale, AZ; Guadalupe, AZ; Circle City, AZ; Theba, AZ; Fountain Hills, AZ; Citrus Park, AZ; Carefree, AZ; Avondale, AZ; Paradise Valley, AZ; Chandler, AZ; Tonopah, AZ; St. Johns, AZ; Sun City West, AZ; Sun Lakes, AZ; Queen Creek, AZ; Tempe, AZ; Cave Creek, AZ; El Mirage, AZ; Sun City, AZ; Litchfield Park, AZ; Gilbert, AZ; Apache Junction, AZ; Buckeye, AZ; Wintersburg, AZ; Wittmann, AZ; New River, AZ; Goodyear Village, AZ; Rio Verde, AZ; Gila Crossing, AZ; Wickenburg, AZ; Black Canyon City, AZ; Komatke, AZ; San Tan Valley, AZ; Anthem, AZ; Roosevelt, AZ; Arlington, AZ; Gila Bend, AZ; Maricopa Colony, AZ; Kaka, AZ; Mesa, AZ"
35000000,"CHIPS for America Manufacturing Incentives","BAE Systems","CHIPS for America - BAE Systems - Other","SUB","Manchester-Nashua, NH","This modernization project will replace aging tools and quadruple the production of chips necessary for critical defense programs, including the $1.7 trillion F-35 fighter jet program","Semiconductors & Microelectronics","Hillsborough County, NH; Antrim, NH; Amherst, NH; Hancock, NH; New Boston, NH; Pinardville, NH; Hillsborough, NH; South Hooksett, NH; Manchester, NH; Nashua, NH; East Merrimack, NH; Hudson, NH; Klondike Corner, NH; Londonderry, NH; Goffstown, NH; Bennington, NH; Greenville, NH; Peterborough, NH; Francestown, NH; Wilton, NH; Milford, NH; Methuen Town, MA"
75000000,"CHIPS for America Manufacturing Incentives","Entegris","CHIPS for America - Entegris - Other","SUB","Colorado Springs, CO","The proposed CHIPS investment would support Entegris' construction of its state-of-the-art manufacturing center in Colorado Springs. The center is being built in multiple phases: the first to support production of FOUPs, which are currently entirely produced abroad, and liquid filter membranes, and the second phase to support the production of advanced liquid filters and purifiers as well as fluid handling solutions. Entegris is a leading supplier of advanced materials and process solutions for the semiconductor and other high-technology industries. Notably, the company invented the Front Opening Unified Pods (FOUPs), which are the highly specialized containers that secure semiconductor wafers while they are handled and transported during the manufacturing process. The proposed investment would create nearly 600 direct manufacturing jobs over a period of several years and approximately 500 construction jobs by 2030.","Semiconductors & Microelectronics","El Paso County, CO; Rock Creek Park, CO; Ramah, CO; Woodmoor, CO; Green Mountain Falls, CO; Peyton, CO; Colorado Springs, CO; Fountain, CO; Palmer Lake, CO; Security-Widefield, CO; Air Force Academy, CO; Calhan, CO; Monument, CO; Woodland Park, CO; Manitou Springs, CO; Cascade-Chipita Park, CO; Gleneagle, CO; Stratmoor, CO; Ellicott, CO; Black Forest, CO; Cimarron Hills, CO; Fort Carson, CO"
200000000,"CHIPS for America Manufacturing Incentives","Global Wafers","CHIPS for America - Global Wafers - Other","SUB","Dallas, TX","Establish the first 300mm silicon wafer manufacturing facility for advanced chips in the United States. Of note, 300mm silicon wafers are a key input used by foundries and integrated device manufacturers to manufacture leading-edge, mature-node, and memory chips. GlobalWafers also plans to convert a portion of its existing silicon epitaxy wafer manufacturing facility in Sherman, Texas to silicon carbide (â€œSiCâ€) epitaxy wafer manufacturing, producing 150mm and 200mm SiC epitaxy wafers. SiC epitaxy wafers are a critical component for high-voltage applications, notably including electric vehicles and clean energy infrastructure.","Semiconductors & Microelectronics","Grayson County, TX; Sherman, TX; Collinsville, TX; Knollwood, TX; Denison, TX; Tom Bean, TX; Southmayd, TX; Howe, TX; Savoy, TX; Whitewright, TX; Pilot Point, TX; Lebanon, OK; Trenton, TX; Van Alstyne, TX; Bells, TX; Dorchester, TX; Whitesboro, TX; Sadler, TX; Preston, TX; Sherwood Shores, TX; Tioga, TX; Celina, TX; Gunter, TX; Pottsboro, TX"
200000000,"CHIPS for America Manufacturing Incentives","Global Wafers","CHIPS for America - Global Wafers - Other","SUB","St. Louis, MO","Establish a new facility to produce 300mm silicon-on-insulator (SOI) wafers. Importantly, SOI wafers allow for significantly improved performance in harsh environments and are commonly used in defense and aerospace end uses.","Semiconductors & Microelectronics","St. Charles County, MO; Augusta, MO; Wentzville, MO; Defiance, MO; Weldon Spring Heights, MO; St. Peters, MO; O'Fallon, MO; St. Charles, MO; Maryland Heights, MO; Old Monroe, MO; Bridgeton, MO; Godfrey, IL; Josephville, MO; Three Creeks, MO; Florissant, MO; Hazelwood, MO; Foristell, MO; Cottleville, MO; Dardenne Prairie, MO; Flint Hill, MO; St. Paul, MO; West Alton, MO; Portage Des Sioux, MO; Chesterfield, MO; Weldon Spring, MO; Chain Rocks, MO; Washington, MO; Lake St. Louis, MO; Alton, IL; Wildwood, MO; New Melle, MO"
1375000000,"CHIPS for America Manufacturing Incentives","GlobalFoundries","CHIPS for America - GlobalFoundries - Other","SUB","Albany, NY","The construction of a new, large-scale 300 mm fabrication facility that is expected to produce high value technologies not currently available in the U.S. The new facility is intended to leverage existing infrastructure to expedite the path from construction to production. The proposed expansion of the existing Malta, New York fabrication facility, which includes a strategic agreement with General Motors, to secure a dedicated supply of essential semiconductor technologies. This project would also support America's economic and national security by expanding domestic capacity for semiconductors that are used in the U.S. critical infrastructure base. This expansion, combined with the new 300 mm fabrication facility, is expected to triple the existing capacity of the Malta campus over the next 10+ years. These two projects are expected to increase wafer production to 1 million per year once all phases are complete.","Semiconductors & Microelectronics","Saratoga County, NY; Galway, NY; Round Lake, NY; Stillwater, NY; Milton, NY; Hudson Falls, NY; Clifton Gardens, NY; Cohoes, NY; Hadley, NY; East Glenville, NY; Troy, NY; Clifton Knolls-Mill Creek, NY; Corinth, NY; Schuylerville, NY; South Glens Falls, NY; Waterford, NY; Fort Edward, NY; Victory, NY; Lake Luzerne, NY; West Glens Falls, NY; Niskayuna, NY; Saratoga Springs, NY; Glens Falls, NY; Ballston Spa, NY; North Ballston Spa, NY; Mechanicville, NY; Country Knolls, NY"
125000000,"CHIPS for America Manufacturing Incentives","GlobalFoundries","CHIPS for America - GlobalFoundries - Other","SUB","Burlington, VT","The revitalization of an existing fabrication facility in Burlington, Vermont, to commercialize new 200 mm technologies, creating the first U.S. facility capable of high-volume manufacturing of next-generation Gallium Nitride on Silicon for use in electric vehicles, power grid, 5G and 6G smartphones, and other critical technologies. The site will apply industry-leading sustainability practices, including the use of 100% carbon-neutral energy and the development of an onsite solar system to supply up to 9% of the site's annual energy.","Semiconductors & Microelectronics","Chittenden County, VT; Jericho, VT; Bolton, VT; Huntington Center, VT; East Charlotte, VT; Bolton Valley, VT; St. George, VT; Milton, VT; Underhill Center, VT; Underhill Flats, VT; Westford, VT; Hinesburg, VT; Shelburne, VT; Winooski, VT; Burlington, VT; West Charlotte, VT; Huntington, VT; Hanksville, VT; Essex Junction, VT; South Burlington, VT; Richmond, VT"
50000000,"CHIPS for America Manufacturing Incentives","HP","CHIPS for America - HP - Other","SUB","Eugene, OR","The proposed funding would support the expansion and modernization of HP's existing facility in Corvallis, Oregon, which is part of the company's lab-to-fab ecosystem in the region that spans from research and development (R&D) activities to commercial manufacturing operations. The proposed project would build on the company's 47-year presence in Corvallis, Oregon and commitment to the local workforce; specifically, the project is estimated to create nearly 150 construction jobs and over 100 manufacturing jobs. The proposed CHIPS investment would bolster the lab-to-fab ecosystem that HP has established in Corvallis, which also serves as one of three R&D Centers for Excellence within the company's global footprint. Among other products, the proposed funding would support the manufacturing of silicon devices that are key components of life sciences lab equipment which are used in drug discovery, single-cell research, and cell line development.","Semiconductors & Microelectronics","Benton County, OR; Monroe, OR; Bellfountain, OR; Alsea, OR; Alpine, OR; Albany, OR; Adair Village, OR; Millersburg, OR; Blodgett, OR; Philomath, OR; Kings Valley, OR; Summit, OR; Peoria, OR; Corvallis, OR"
3060000000,"CHIPS for America Manufacturing Incentives","Intel","CHIPS for America - Intel - Other","SUB","Portland, OR","Investment in the premier hub of leading-edge development in the United States through the expansion and modernization of technology development facilities that will utilize the world's first High NA EUV lithography equipment. The Gordon Moore Park campus at Ronler Acres in Hillsboro, Oregon is the heart of Intel's innovation hub for leading-edge semiconductor research and technology development in the United States. These investments will further the company's technological leadership and enable the continued development of new innovations. In 2022, Intel spent more than $4 billion with more than 500 suppliers across Oregon. This investment will support several thousand manufacturing and construction jobs.","Semiconductors & Microelectronics","Washington County, OR; North Plains, OR; Lake Oswego, OR; Portland, OR; Garden Home-Whitford, OR; Gaston, OR; Cherry Grove, OR; Rockcreek, OR; Tualatin, OR; Rivergrove, OR; West Slope, OR; Banks, OR; Forest Grove, OR; King City, OR; Tigard, OR; Cedar Hills, OR; Cedar Mill, OR; Metzger, OR; West Haven-Sylvan, OR; Cornelius, OR; Bull Mountain, OR; Marlene Village, OR; Aloha, OR; Sherwood, OR; Wilsonville, OR; Raleigh Hills, OR; Oak Hills, OR; Beaverton, OR; Durham, OR; Dilley, OR; Hillsboro, OR; Bethany, OR"
